dictionaryName,version,key,fullName,dataType,length,description
devguide,,,sourceMacAddress,MacAddress,n/a,MAC (4)
devguide,,,sourceNtDomain,String,255,n/a
devguide,,,sourcePort,Integer,n/a,0 -> 65535
devguide,,,sourceProcessName,String,1023,n/a
devguide,,,sourceServiceName,String,1023,n/a
devguide,,,sourceTranslatedAddress,IPAddress,n/a,IPv4 or IPv6  (3)
devguide,,,sourceTranslatedPort,Integer,n/a,0 -> 65535
devguide,,,sourceTranslatedZoneURI,String,,n/a (2)
devguide,,,sourceUserId,String,1023,n/a
devguide,,,sourceUserName,String,1023,n/a
devguide,,,sourceUserPrivileges,String,1023,n/a
devguide,,,sourceZoneURI,String,,n/a (2)
devguide,,,startTime,TimeStamp,n/a,n/a (5)
devguide,,,transportProtocol,String,31,n/a (6)
